"id","userid","anotheruser","firstcontacttimestamp","lastcontacttimestamp","distance","rssi","batterylevel"
1,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 15:43:05.352+00","2022-11-06 15:43:05.352+00",146,-71.0,76
2,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 15:43:15.35+00","2022-11-06 15:44:25.351+00",43,-32.0,76
3,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 15:44:35.354+00","2022-11-06 15:44:45.344+00",156,-69.0,76
4,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 15:44:55.346+00","2022-11-06 15:45:15.344+00",271,-84.0,76
5,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 15:45:25.347+00","2022-11-06 15:47:15.346+00",159,-64.0,76
6,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 15:47:25.344+00","2022-11-06 15:50:05.345+00",43,-61.0,76
7,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 15:50:15.343+00","2022-11-06 15:50:55.345+00",190,-74.0,77
8,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 15:51:05.344+00","2022-11-06 15:51:15.345+00",84,-55.0,77
9,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 15:55:06.374+00","2022-11-06 15:55:06.374+00",413,-83.0,77
10,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 15:55:21.386+00","2022-11-06 15:55:21.386+00",586,-88.0,77
11,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 15:55:45.346+00","2022-11-06 15:56:38.412+00",265,-72.0,77
